Task Name,Resource Name,Work Hours Completion Percentage,Work hours,Unit
Cost Control Contingency Plan,Cost Department,0%,40 hours,100%
Cost Control Key Points and Challenges,Cost Department,0%,40 hours,100%
"Determining river channel management, foundation treatment plan, and noise reduction plan",Engineering Department,0%,40 hours,100%
"7. ""Clubhouse, Sales Office, Model Unit Site Selection, Positioning, and Opening Plan""",Marketing Department,0%,80 hours,100%
"Site sales office and model area location selection, area planning, functional zoning, interior and exterior styles, landscape, and other specific requirements",Marketing Department,0%,80 hours,100%
Sales Gallery and Model Unit Opening Plan,Marketing Department,0%,80 hours,100%
8. Investment Analysis Report (Initiation),Finance Department,0%,80 hours,100%
Sales Progress and Price Expectations in the Startup Phase,Finance Department,0%,80 hours,100%
Calculation of the Preliminary Target Cost,Finance Department,0%,80 hours,100%
"9. ""Design Proposal Brief""",R&D Department,0%,80 hours,100%
"10. ""Landscape Design Brief""",R&D Department,0%,80 hours,100%
"11. ""Luxury Housing Positioning, Price Limitation, and Construction Implementation Plan"" (if applicable)",R&D Department,0%,80 hours,100%
Convene Project Kick-off Meeting,PMO,0%,16 hours,100%
Project Initiation Phase Deliverables Submitted for Group Approval,PMO Convenor,0%,24 hours,100%
Planning and Design,R&D Department,0%,"2,376 hours",100%
Constructive Detailed Planning Design,R&D Department,0%,912 hours,100%
Preparation Work,R&D Department,0%,264 hours,100%
"Project Market Preliminary Judgment, Preliminary Product Positioning",Marketing Department,0%,32 hours,100%
Draft Conceptual Planning and Design Task Statement,R&D Department,0%,32 hours,100%
Determine the participating conceptual planning and design units,R&D Department,0%,40 hours,100%
"Planning Conditions, Compilation and Editing of Reference Materials",R&D Department,0%,96 hours,100%
"Planning Conditions, Compilation and Editing of Reference Materials",Development Department,0%,96 hours,100%
"Concept Planning Phase Work Confirmation Letter Signing, Issuance of Task Letters and Related Materials",R&D Department,0%,8 hours,100%
Draft Conceptual Planning and Design Contract and Approval,R&D Department,0%,64 hours,100%
Draft Conceptual Planning and Design Contract and Approval,Cost Department,0%,64 hours,100%
Conceptual Planning Work Process Management,R&D Department,0%,88 hours,100%
"Conceptual Planning Review, Determine the Detailed Planning Design Direction and the Overall Design Contractor for This Project",Project Team,0%,40 hours,100%
Coordinate with relevant government departments and confirm the planning scheme development direction,Project Team,0%,32 hours,100%
"Obtain basic planning and design data (control plan, red line map, hydrological and geological data, etc.)",Development Department,0%,104 hours,100%
"Obtain basic planning and design data (control plan, red line map, hydrological and geological data, etc.)",R&D Department,0%,104 hours,100%
Government Public Relations (Government approval allows submission of planning proposal for approval before signing the land transfer agreement),Development Department,0%,104 hours,100%
Government Public Relations (Government approval allows submission of planning proposal for approval before signing the land transfer agreement),R&D Department,0%,104 hours,100%
"Draft the design general contracting contract (including detailed design, architectural plan, preliminary design, construction drawings, landscape, etc.)",R&D Department,0%,80 hours,100%
Sign the design general contracting contract,R&D Department,0%,16 hours,100%
"Planning and Design Task Book, Scheme Design Task Book Internal Confirmation",Project Team,0%,96 hours,100%
Project Market Positioning Report,Marketing Department,0%,8 hours,100%
Issue the planning and design task book and the scheme design task book,R&D Department,0%,40 hours,100%
"Adjustment of Planning and Design Task Book (if necessary, depending on the communication with the government)",R&D Department,0%,40 hours,100%
Complete the planning scheme design,R&D Department,0%,464 hours,100%
"Process management of detailed planning design work, internal confirmation of the plan (two regular meetings every Monday and Friday)",R&D Department,0%,168 hours,100%
Communicate with government planning department (planning section),R&D Department,0%,80 hours,100%
Detailed Planning Approval,R&D Department,0%,96 hours,100%
Sunlight Analysis,R&D Department,0%,96 hours,100%
Consultation on Detailed Planning Scheme (Approximately 19 Government Departments),R&D Department,0%,96 hours,100%
Consultation on Detailed Planning Scheme (Approximately 19 Government Departments),Engineering Department,0%,96 hours,100%
Water Services,R&D Department,0%,96 hours,100%
Water Services,Engineering Department,0%,96 hours,100%
Power Supply,R&D Department,0%,96 hours,100%
Power Supply,Engineering Department,0%,96 hours,100%
Gas,R&D Department,0%,96 hours,100%
Gas,Engineering Department,0%,96 hours,100%
Fire protection,R&D Department,0%,96 hours,100%
Fire protection,Engineering Department,0%,96 hours,100%
Civil Air Defense,R&D Department,0%,96 hours,100%
Civil Air Defense,Engineering Department,0%,96 hours,100%
Traffic,R&D Department,0%,96 hours,100%
Traffic,Engineering Department,0%,96 hours,100%
Communications,R&D Department,0%,96 hours,100%
Communications,Engineering Department,0%,96 hours,100%
Greening,R&D Department,0%,96 hours,100%
Greening,Engineering Department,0%,96 hours,100%
Approval of River Landscape Renovation Plan,Engineering Department,0%,96 hours,100%
Jiasong Highway Road Landscape Renovation Plan Approval Submission,Engineering Department,0%,96 hours,100%
Sixth Avenue Landscape Renovation Plan Approval Submission,Engineering Department,0%,96 hours,100%
Obtain the Notice of Planning Review Opinion,R&D Department,0%,160 hours,100%
Feasibility Study Report Preparation,Development Department,0%,712 hours,100%
Select the feasibility study preparation agency unit,Development Department,0%,96 hours,100%
Project Proposal Preparation,Development Department,0%,280 hours,100%
Feasibility Study Report Preparation,Development Department,0%,280 hours,100%
Project Proposal Approval,Development Department,0%,80 hours,100%
Feasibility Study Report Approval,Development Department,0%,80 hours,100%
Handle project initiation and collect IC card,Engineering Department,0%,16 hours,100%
Architectural Design Scheme,R&D Department,0%,512 hours,100%
Adjustment and confirmation of the architectural design task book (if necessary),R&D Department,0%,40 hours,100%
"Design work process management, scheme internal confirmation (two regular meetings every Monday and Friday)",R&D Department,0%,200 hours,100%
Communicate with government planning departments (Construction Management Section),R&D Department,0%,56 hours,100%
Architectural Plan Approval,R&D Department,0%,120 hours,100%
Preliminary Design Calculation and Preliminary Design Guidance,Project Team,0%,512 hours,100%
"12. ""Scheme Design Results""",R&D Department,0%,40 hours,100%
"13. ""Guidelines for Coordination between Landscape and Architectural Schemes""",R&D,0%,40 hours,100%
"14. ""Guidelines for Coordination between Finishing House Plan and Architectural Plan"" (if any)",R&D Department,0%,40 hours,100%
15. Cost Estimation and Verification,Cost Department,0%,160 hours,100%
Completion of Product Configuration Standards in the Scheme Phase,Marketing Department,0%,8 hours,100%
Scheme Phase Internal Discussion,Project Team,0%,8 hours,100%
Complete the calculation of the target cost for the solution version,Cost Department,0%,152 hours,100%
"16. ""Investment Calculation"" (Plan)",Finance Department,0%,2176 hours,100%
Sales progress and price expectation in the planning phase,Marketing Department,0%,8 hours,100%
Calculation of Target Cost for the Plan Version,Cost Department,0%,8 hours,100%
"17. ""Preliminary Design Assignment Document""",R&D,0%,40 hours,100%
Project leader reviews and submits to PMO meeting,Project Leader,0%,24 hours,100%
PMO Meeting Review and Argumentation,PMO,0%,16 hours,100%
Submit for Group Approval,PMO Convenor,0%,24 hours,100%
3. Complete the design plan,R&D Department,0%,0 hours,100%
"Propose the ""Schematic Product List"" and the ""Schematic Price Forecast Table""",Marketing Department,0%,56 hours,100%
Determine the project name,Marketing Department,0%,56 hours,100%
Preliminary Design,R&D Department,0%,696 hours,100%
Issue the preliminary design task book,R&D Department,0%,40 hours,100%
Complete preliminary design,R&D Department,0%,336 hours,100%
Municipal Supporting Plan Approval,R&D Department,0%,240 hours,100%
Municipal Supporting Plan Approval,Engineering Department,0%,240 hours,100%
Water Services,R&D Department,0%,120 hours,100%
Water Services,Engineering Department,0%,120 hours,100%
Power Supply,R&D Department,0%,120 hours,100%
Power Supply,Engineering Department,0%,120 hours,100%
Gas,R&D Department,0%,120 hours,100%
Gas,Engineering Department,0%,120 hours,100%
Civil Air Defense,R&D Department,0%,240 hours,100%
Preliminary Design Approval,R&D Department,0%,88 hours,100%
"Preliminary Design Results Internal Briefing (Finance, Engineering, Marketing, Cost Procurement)",R&D Department,0%,56 hours,100%
Preliminary Design Outcome Calculation and Construction Guidance,Project Team,0%,152 hours,100%
18. Preliminary Design Results,R&D Department,0%,56 hours,100%
"19. ""Landscape Design Scheme Results""",R&D Department,0%,56 hours,100%
"20. ""Luxury Housing Scheme Design Task Book"" (if any)",R&D Department,0%,56 hours,100%
21. Investment Calculation and Analysis (Preliminary Design),Finance Department,0%,56 hours,100%
22. Project Target Cost,Finance Department,0%,56 hours,100%
Target Cost Breakdown,Finance Department,0%,56 hours,100%
23. Project Sales Indicators,Finance Department,0%,56 hours,100%
Project leader reviews and submits to PMO meeting,Project Leader,0%,56 hours,100%
PMO Meeting Review and Argumentation,PMO,0%,16 hours,100%
Submit for Group Approval,PMO Convenor,0%,24 hours,100%
"Propose the ""Preliminary Design Version Product List""",Marketing Department,0%,56 hours,100%
"Propose the ""Preliminary Design Version Price Forecast Table""",Marketing Department,0%,56 hours,100%
4. Complete preliminary design,R&D Department,0%,0 hours,100%
Construction Drawing Design,R&D Department,0%,"2,200 hours",100%
Geological Exploration,Engineering Department,0%,920 hours,100%
Preliminary Survey,Engineering Department,0%,240 hours,100%
Detailed Exploration,Engineering Department,0%,240 hours,100%
Complete pile layout diagram and foundation construction drawing,R&D Department,0%,200 hours,100%
Complete Construction Drawing Design,R&D Department,0%,320 hours,100%
"Construction Drawing Design Document Approval (Reviewing Agency, Lightning Protection Office, Civil Defense Office)",R&D Department,0%,80 hours,100%
Obtain the Construction Engineering Planning Permit,R&D Department,0%,160 hours,100%
Prepare materials,R&D Department,0%,24 hours,100%
Apply for the Construction Engineering Planning Permit,R&D Department,0%,160 hours,100%
Municipal Supporting Specialized Construction Drawing Design,R&D Department,0%,984 hours,100%
Municipal Supporting Plan Design,R&D Department,0%,240 hours,100%
Municipal Supporting Plan Design,Engineering Department,0%,240 hours,100%
Power Supply,R&D Department,0%,120 hours,100%
Power Supply,Engineering Department,0%,120 hours,100%
Gas,R&D Department,0%,240 hours,100%
Gas,Engineering Department,0%,240 hours,100%
Water Supply,R&D Department,0%,240 hours,100%
Water Supply,Engineering Department,0%,240 hours,100%
Communications,R&D Department,0%,240 hours,100%
Communications,Engineering Department,0%,240 hours,100%
Community Integrated Utility Network Map,R&D Department,0%,80 hours,100%
Community Integrated Utility Network Map,Engineering Department,0%,80 hours,100%
Municipal Supporting Construction Drawings,R&D Department,0%,240 hours,100%
Municipal Supporting Construction Drawings,Engineering Department,0%,240 hours,100%
Power Supply,R&D Department,0%,240 hours,100%
Power Supply,Engineering Department,0%,240 hours,100%
Gas,R&D Department,0%,240 hours,100%
Gas,Engineering Department,0%,240 hours,100%
Water Supply,R&D Department,0%,240 hours,100%
Water Supply,Engineering Department,0%,240 hours,100%
Communications,R&D Department,0%,240 hours,100%
Communications,Engineering Department,0%,240 hours,100%
Civil Air Defense,R&D Department,0%,320 hours,100%
Civil Air Defense,Engineering Department,0%,320 hours,100%
Municipal Landscape,R&D Department,0%,240 hours,100%
Municipal Landscape,Engineering Department,0%,240 hours,100%
Municipal Greening Construction Drawing Approval,Engineering Department,0%,120 hours,100%
Riverbank Construction Plan Approval,Engineering Department,0%,120 hours,100%
Construction Drawing Internal Handover,R&D Department,0%,80 hours,100%
5. Complete construction drawing design,R&D Department,0%,0 hours,100%
"Propose the ""Construction Fence Packaging Plan""",Marketing Department,0%,120 hours,100%
Landscape Design,R&D Department,0%,"1,080 hours",100%
Complete the landscape concept design and handover,R&D Department,0%,360 hours,100%
Complete the landscape preliminary design and handover,R&D Department,0%,240 hours,100%
Complete landscape construction drawing design and handover,R&D Department,0%,480 hours,100%
Demonstration Area Design,R&D Department,0%,776 hours,100%
Architectural Design,R&D Department,0%,240 hours,100%
Landscape Design,R&D Department,0%,160 hours,100%
Interior Design,R&D Department,0%,536 hours,100%
Issue the task statement for refined interior design scheme,R&D Department,0%,56 hours,100%
Clubhouse,R&D Department,0%,56 hours,100%
Sample Room,R&D Department,0%,56 hours,100%
Complete the refined decoration plan design and briefing,R&D Department,0%,240 hours,100%
Complete the refined decoration construction drawing design and handover,R&D Department,0%,240 hours,100%
Rough-in Design for Finishing (if applicable),R&D Department,0%,720 hours,100%
Rough-in Design for Finishing House,R&D Department,0%,320 hours,100%
Rough-in Construction Drawing Design for Finishing Works,R&D Department,0%,400 hours,100%
Guiding System Design,R&D Department,0%,560 hours,100%
Sign the sign system design contract,R&D Department,0%,80 hours,100%
Complete the signage system design and handover,R&D Department,0%,480 hours,100%
Construction Preparation,Engineering Department,0%,"4,112 hours",100%
Three Utilities and One Leveling Project,Engineering Department,0%,256 hours,100%
Temporary Water,Engineering Department,0%,256 hours,100%
Linsui Plan,Engineering Department,0%,56 hours,100%
Linsui Contract,Cost Department,0%,24 hours,100%
Linsui Implementation,Engineering Department,0%,200 hours,100%
Temporary Electricity,Engineering Department,0%,256 hours,100%
Temporary Power Supply Plan,Engineering Department,0%,56 hours,100%
Temporary Power Contract,Cost Department,0%,24 hours,100%
Temporary Power Implementation,Engineering Department,0%,200 hours,100%
Temporary Road,Engineering Department,0%,256 hours,100%
Temporary Road Plan,Engineering Department,0%,80 hours,100%
Temporary Road Implementation,Engineering Department,0%,2176 hours,100%
Site Preparation,Engineering Department,0%,184 hours,100%
Site Grading Plan,Engineering Department,0%,24 hours,100%
Site Dredging,Engineering Department,0%,160 hours,100%
Earthwork Balance,Engineering Department,0%,160 hours,100%
Site Survey,Engineering Department,0%,200 hours,100%
Site Survey,Engineering Department,0%,360 hours,100%
Stakeout Nails,Engineering Department,0%,80 hours,100%
Elevation Survey of Site Grid Network,Engineering Department,0%,56 hours,100%
Underground Utility Survey,Engineering Department,0%,56 hours,100%
On-site Temporary Facilities,Engineering Department,0%,216 hours,100%
Temporary Office Housing,Engineering Department,0%,216 hours,100%
Develop an office space plan,Engineering Department,0%,56 hours,100%
Office Room Bidding,Cost Department,0%,56 hours,100%
On-site Office Building Construction,Engineering Department,0%,480 hours,100%
"Office building mechanical and electrical installation, network",Engineering Department,0%,56 hours,100%
Temporary Wall Fence,Engineering Department,0%,216 hours,100%
Temporary Fence Plan,R&D Department,0%,56 hours,100%
Temporary Fence Contract,Cost Department,0%,24 hours,100%
Confirming the contractor for the temporary perimeter wall,Cost Department,0%,56 hours,100%
Confirming the contractor for the temporary perimeter wall,Engineering Department,0%,56 hours,100%
Temporary Fence Implementation,Engineering Department,0%,80 hours,100%
Engineering Pre-construction Contract,Cost Department,0%,"4,112 hours",100%
General Contracting Contract,Cost Department,0%,944 hours,100%
General Contracting Bidding Zone Division Plan,Engineering Department,0%,24 hours,100%
Cost Consulting Contract Signing,Cost Department,0%,240 hours,100%
Construction Unit Site Inspection,Engineering Department,0%,240 hours,100%
Construction Unit Site Inspection,Cost Department,0%,240 hours,100%
Total Contract Awarding,Cost Department,0%,240 hours,100%
General Contract Signing,Cost Department,0%,80 hours,100%
Supervision Contract,Cost Department,0%,144 hours,100%
Examine the Supervision Unit,Engineering Department,0%,80 hours,100%
Tendering of Supervision Unit,Cost Department,0%,40 hours,100%
Sign the Supervision Contract,Cost Department,0%,24 hours,100%
Earthwork Construction Contract,Cost Department,0%,168 hours,100%
Examine Earthwork Units,Engineering Department,0%,112 hours,100%
Earthwork Construction Bidding,Cost Department,0%,40 hours,100%
Determine Earthwork Construction Contractor,Cost Department,0%,16 hours,100%
Sign the earthwork construction contract,Cost Department,0%,16 hours,100%
Relevant Owner-Supplied Materials/Equipment Contracts,Cost Department,0%,"1,616 hours",100%
Sanitary fixtures,Cost Department,0%,136 hours,100%
Sanitary Ware Contract Requirements,Engineering Department,0%,56 hours,100%
Sanitary Ware Contract Signing,Cost Department,0%,80 hours,100%
Exterior Wall Materials,Cost Department,0%,136 hours,100%
Exterior Wall Material Contract Requirements,Engineering Department,0%,56 hours,100%
Exterior Wall Material Contract Signing,Cost Department,0%,80 hours,100%
Nursery Stock Procurement,Cost Department,0%,136 hours,100%
Tree Seedling Procurement Contract Requirement,Engineering Department,0%,80 hours,100%
Signing of Seedling Procurement Contract,Cost Department,0%,56 hours,100%
Specified Subcontracting Contract,Cost Department,0%,936 hours,100%
"Weak Electrical System (Perimeter, Surveillance, Patrol, Intercom, Resident Alarm, Fire Protection)",Cost Department,0%,320 hours,100%
Weak Electrical System Contract Requirements,Engineering Department,0%,80 hours,100%
Weak Electrical System Contract Signing,Cost Department,0%,240 hours,100%
Satellite TV,Cost Department,0%,320 hours,100%
Satellite TV Contract Requirements,Cost Department,0%,80 hours,100%
Satellite TV Contract Signing,Cost Department,0%,240 hours,100%
Residential Area Water Feature,Cost Department,0%,320 hours,100%
Neighborhood Water Feature Contract Requirements,Cost Department,0%,80 hours,100%
Neighborhood Water Feature Contract Signing,Cost Department,0%,240 hours,100%
Rough-in Construction Contract,Cost Department,0%,800 hours,100%
Rough Finishing Contract Requirements,Engineering Department,0%,80 hours,100%
Construction Unit Bidding and Tendering,Cost Department,0%,80 hours,100%
Material Confirmation for Renovation,R&D Department,0%,160 hours,100%
Cost Accounting,Cost Department,0%,120 hours,100%
Fine Finishing Contract Signing,Cost Department,0%,120 hours,100%
"Rough Finishing (Clubhouse, Model Room) Mechanical and Electrical Installation Contract",Cost Department,0%,80 hours,100%
Air Conditioning System,Cost Department,0%,80 hours,100%
Air Conditioning Contract Requirements,Engineering Department,0%,40 hours,100%
Air Conditioning Contract Signing,Cost Department,0%,40 hours,100%
Floor Heating System,Cost Department,0%,80 hours,100%
Floor Heating Contract Requirements,Engineering Department,0%,40 hours,100%
Floor Heating Contract Signing,Cost Department,0%,40 hours,100%
Landscape,Cost Department,0%,"1,976 hours",100%
Landscape Construction Contractor Evaluation,Engineering Department,0%,240 hours,100%
Landscape Construction Contractor Evaluation,Cost Department,0%,240 hours,100%
"苗源调查 translates to ""Seedling Source Investigation"" in English.",Engineering Department,0%,240 hours,100%
"苗源调查 translates to ""Seedling Source Investigation"" in English.",Cost Department,0%,240 hours,100%
Nursery Land Condition Survey,Public Relations Department,0%,240 hours,100%
Nursery Land Condition Survey,Cost Department,0%,240 hours,100%
Nursery Construction,Engineering Department,0%,480 hours,100%
Nursery Construction,Cost Department,0%,480 hours,100%
Landscape Construction Contractor Bidding and Tendering,Cost Department,0%,"1,120 hours",100%
Landscape Construction Contractor Bidding and Tendering,Engineering Department,0%,"1,120 hours",100%
Landscape Material Selection and Ordering,Cost Department,0%,120 hours,100%
Providing the quantity of hard and soft landscape works,Cost Department,0%,120 hours,100%
Work Quantity Completion List,Cost Department,0%,160 hours,100%
Sign the nursery lease contract,Engineering Department,0%,80 hours,100%
Sign the nursery lease contract,Cost Department,0%,80 hours,100%
Landscape Contract Requirements,Cost Department,0%,80 hours,100%
Landscape Contract Signing,Cost Department,0%,120 hours,100%
Municipal Supporting Contract,Cost Department,0%,520 hours,100%
Natural Gas Installation Contract,Cost Department,0%,400 hours,100%
Natural Gas Installation Contract Requirements,Engineering Department,0%,80 hours,100%
Natural Gas Installation Contract Requirements,Cost Department,0%,80 hours,100%
Natural Gas Installation Contract,Cost Department,0%,320 hours,100%
Water Supply (Including Fire Hydrant) Installation Contract,Cost Department,0%,400 hours,100%
Water Supply Installation Contract Requirements,Engineering Department,0%,80 hours,100%
Water Supply Installation Contract Requirements,Cost Department,0%,80 hours,100%
Water Supply Installation Contract,Cost Department,0%,320 hours,100%
Power Supply System Contract,Cost Department,0%,400 hours,100%
Cable Laying Contract Requirements,Engineering Department,0%,80 hours,100%
Cable Laying Contract Requirements,Cost Department,0%,80 hours,100%
Cable Laying Contract,Cost Department,0%,320 hours,100%
Distribution Room Installation Contract Requirements,Engineering Department,0%,80 hours,100%
Distribution Room Installation Contract Requirements,Cost Department,0%,80 hours,100%
Distribution Room Installation Contract,Cost Department,0%,320 hours,100%
Drainage Inspection Well Contract,Cost Department,0%,216 hours,100%
Drainage Inspection Well Contract Requirements,Engineering Department,0%,56 hours,100%
Drainage Inspection Well Contract Requirements,Cost Department,0%,56 hours,100%
Drainage Inspection Well Contract,Cost Department,0%,160 hours,100%
Telecom (including broadband) contract,Cost Department,0%,216 hours,100%
Telecom (including broadband) contract requirements,Engineering Department,0%,56 hours,100%
Telecom (including broadband) contract requirements,Cost Department,0%,56 hours,100%
Telecom (including broadband) contract,Cost Department,0%,160 hours,100%
Cable TV Contract,Cost Department,0%,216 hours,100%
Cable TV Contract Requirements,Engineering Department,0%,56 hours,100%
Cable TV Contract Requirements,Cost Department,0%,56 hours,100%
Cable TV Contract,Cost Department,0%,160 hours,100%
Construction Permit Processing,Engineering Department,0%,400 hours,100%
Handle bidding and tendering procedures,Engineering Department,0%,400 hours,100%
Preliminary Design and Budget Approval Document,Engineering Department,0%,160 hours,100%
Determining the Tendering Agency,Engineering Department,0%,240 hours,100%
6. Obtain construction permit,Engineering Department,0%,0 hours,100%
Construction Preparation Phase Deliverables,PMO Specialist,0%,680 hours,100%
"24. ""Construction and Supervision Unit Screening and Evaluation Report""",Engineering Department,0%,160 hours,100%
"25. Tendering, Pricing Plan, and Contract Planning",Cost Department,0%,160 hours,100%
"26. ""Three Utilities and One Leveling Implementation Plan""",Engineering Department,0%,160 hours,100%
27. Project Management Outline,Engineering Department,0%,160 hours,100%
PMO Review,PMO Specialist,0%,16 hours,100%
Submit for Group Approval,PMO Specialist,0%,56 hours,100%
Engineering Implementation,Engineering Department,0%,"4,888 hours",100%
7. Project Commencement (Formal),Engineering Department,0%,0 hours,100%
One Construction Engineering Group Construction,Engineering Department,0%,"3,416 hours",100%
Site Handover for Construction,Engineering Department,0%,16 hours,100%
Materials confirmation and price recognition completed,Engineering Department,0%,240 hours,100%
Pile Foundation Engineering,Engineering Department,0%,240 hours,100%
Basic Engineering,Engineering Department,0%,240 hours,100%
Main structure to topping-out status,Engineering Department,0%,480 hours,100%
Roof Engineering,Engineering Department,0%,240 hours,100%
Masonry Work,Engineering Department,0%,240 hours,100%
Interior Engineering,Engineering Department,0%,240 hours,100%
Interior plastering,Engineering Department,0%,240 hours,100%
Exterior Engineering Project,Engineering Department,0%,"1,816 hours",100%
Exterior Painting,Engineering Department,0%,240 hours,100%
Exterior Wall Insulation,Engineering Department,0%,240 hours,100%
Exterior Wall Cladding,Engineering Department,0%,360 hours,100%
Equipment Installation Engineering,Engineering Department,0%,400 hours,100%
Structure topping off to sellable condition,Engineering Department,0%,0 hours,100%
Exterior construction completed and all external scaffolding removed (in phases),Engineering Department,0%,480 hours,100%
Two Group Engineering Construction,Engineering Department,0%,"3,176 hours",100%
Pile Foundation Engineering,Engineering Department,0%,240 hours,100%
Basic Engineering,Engineering Department,0%,240 hours,100%
Main structure to topping-out status,Engineering Department,0%,480 hours,100%
Roof Engineering,Engineering Department,0%,240 hours,100%
Masonry Work,Engineering Department,0%,240 hours,100%
Interior Engineering,Engineering Department,0%,240 hours,100%
Interior plastering,Engineering Department,0%,240 hours,100%
Exterior Engineering Project,Engineering Department,0%,"1,576 hours",100%
Exterior Painting,Engineering Department,0%,240 hours,100%
Exterior Wall Insulation,Engineering Department,0%,240 hours,100%
Exterior Wall Cladding,Engineering Department,0%,360 hours,100%
Equipment Installation Engineering,Engineering Department,0%,400 hours,100%
Structure topping off to sellable condition,Engineering Department,0%,0 hours,100%
Exterior construction completed and all external scaffolding removed (in phases),Engineering Department,0%,240 hours,100%
Three Group Engineering Construction,Engineering Department,0%,"2,936 hours",100%
Pile Foundation Engineering,Engineering Department,0%,240 hours,100%
Basic Engineering,Engineering Department,0%,240 hours,100%
